,id,date,rawContent,cleaned_content
62,17563,2022-06-25 23:29:22+00:00,I love you too and I love you more be two different things.,i love you too and i love you more be two different things
63,17564,2022-06-25 23:29:18+00:00,"ウシガエルみたいに鳴くヒツジがうるさい!!
23時28分🇬🇭",2328
64,17565,2022-06-25 23:29:13+00:00,#doggy has been trending in Ghana for over 3 days straight... and I'm not getting some💀,has been trending in ghana for over 3 days straight and im not getting some
65,17566,2022-06-25 23:29:06+00:00,@brotherlexis It issssssss,it issssssss
66,17567,2022-06-25 23:29:03+00:00,Ladies!! https://t.co/sBoWWwAaee,ladies
67,17568,2022-06-25 23:27:33+00:00,@iLatif_ @yngt11_ Nbs glass people dey come chew,nbs glass people dey come chew
68,17569,2022-06-25 23:27:13+00:00,@SaddickAdams @AAwtlaw First of he had a vision and he focus on it,first of he had a vision and he focus on it
69,17570,2022-06-25 23:27:00+00:00,"Sometimes all you need is a second chance, as for time wasn’t ready for the first one🫶🏾",sometimes all you need is a second chance as for time wasnt ready for the first one
70,17571,2022-06-25 23:26:39+00:00,patiently waiting for Jhus….,patiently waiting for jhus
71,17572,2022-06-25 23:25:30+00:00,High school - Most Dee😔😔 https://t.co/G0aK6yT6OJ,high school most dee
72,17573,2022-06-25 23:25:28+00:00,This Pair Is 🔥🚀💥 https://t.co/lGA37yBqiI,this pair is
73,17574,2022-06-25 23:25:23+00:00,@monney1808 @garyalsmith Fine lady paa wey tweet dis ns3mfuu,fine lady paa wey tweet dis ns3mfuu
74,17575,2022-06-25 23:25:15+00:00,@theovamediaBA @YawBuabengPR,
75,17576,2022-06-25 23:25:09+00:00,Siri play why I love you by the throne ft Mr Hudson,siri play why i love you by the throne ft mr hudson
76,17577,2022-06-25 23:25:01+00:00,Missed this space but had a great family time.,missed this space but had a great family time
77,17578,2022-06-25 23:24:32+00:00,Yea. It’s an interesting one https://t.co/WhK5SxX9im,yea its an interesting one
78,17579,2022-06-25 23:24:03+00:00,"@OtooJulius @tv3_ghana Focus, this is just an entertainment.
If you don't like something, that doesn't mean, everyone must dislike it too.",focus this is just an entertainment if you dont like something that doesnt mean everyone must dislike it too
79,17580,2022-06-25 23:23:22+00:00,@iSunnysam Send me odds,send me odds
80,17581,2022-06-25 23:22:26+00:00,*Boko Haram,boko haram
81,17582,2022-06-25 23:22:12+00:00,@BenopaOnyx1 @DisTurB____ Hei hei hei I know where u are going...don't mention the sakora man's name,hei hei hei i know where u are going dont mention the sakora mans name
82,17583,2022-06-25 23:21:45+00:00,@edd_april Mogya nu ay3shi 😂😂😂,mogya nu ay3shi
83,17584,2022-06-25 23:20:52+00:00,"I’m almost there , I believe it .",im almost there i believe it
84,17585,2022-06-25 23:19:47+00:00,Yeah I was sweeping Aggrey Chapel car park https://t.co/FoUaVhAfsb,yeah i was sweeping aggrey chapel car park
